Volcano_Number,Volcano_Name,Eruption_Number,Eruption_Category,Area_of_Activity,VEI,VEI_Modifier,Start_Year_Modifier,Start_Year,Start_Year_Uncertainty,Start_Month,Start_Day_Modifier,Start_Day,Start_Day_Uncertainty,Evidence_Method_(dating),End_Year_Modifier,End_Year,End_Year_Uncertainty,End_Month,End_Day_Modifier,End_Day,End_Day_Uncertainty,Latitude,Longitude,cluster,startdate,type
263300,Semeru,13574,Confirmed Eruption,,2,,,1904,,1,,2,,Historical Observations,,1904,,1,,16,,-8.108,112.92,10,1904-01-02,0
343020,Santa Ana,10690,Confirmed Eruption,,2,,,1904,,1,,12,,Historical Observations,,1904,,1,?,26,,13.853,-89.63,14,1904-01-12,0
300260,Klyuchevskoy,19431,Confirmed Eruption,,2,,,1904,,1,,31,30,Historical Observations,,1904,,6,>,14,,56.056,160.642,7,1904-01-31,0
233010,Karthala,14194,Confirmed Eruption,North flank (1300 m),2,,,1904,,2,,25,,Historical Observations,,1904,,4,,0,,-11.75,43.38,2,1904-02-25,0
273070,Taal,16851,Confirmed Eruption,Base of south wall of main crater,1,,,1904,,4,,1,,Historical Observations,,1904,,7,,15,5,14.002,120.993,8,1904-04-01,0
223020,Nyamuragira,14046,Confirmed Eruption,SW flank (Nahimbi),2,,,1904,,4,,1,,Historical Observations,,1904,,5,?,16,,-1.408,29.2,9,1904-04-01,0
300060,Mutnovsky,18963,Confirmed Eruption,,2,,,1904,,4,,2,,Historical Observations,,1904,,6,>,26,,52.449,158.196,7,1904-04-02,0
267030,Banua Wuhu,16548,Confirmed Eruption,,2,,,1904,,4,,17,,Historical Observations,,1904,,4,,18,,3.138,125.491,6,1904-04-17,0
261140,Marapi,15439,Confirmed Eruption,,1,,,1904,,4,,18,,Historical Observations,,1904,,4,,18,,-0.381,100.473,10,1904-04-18,0
267010,Ruang,16485,Confirmed Eruption,,3,?,,1904,,4,,22,,Historical Observations,,1905,,5,,27,,2.3,125.37,6,1904-04-22,0
251020,Manam,14902,Confirmed Eruption,,,,,1904,,4,,30,30,Historical Observations,,,,,,,,-4.08,145.037,11,1904-04-30,0
344100,Masaya,11021,Confirmed Eruption,Santiago,2,,,1904,,5,,1,,Historical Observations,,1904,,6,,0,,11.984,-86.161,14,1904-05-01,0
265050,Teon,16378,Confirmed Eruption,,2,,,1904,,6,,3,,Historical Observations,,,,,,,,-6.976,129.144,6,1904-06-03,0
263180,Slamet,15740,Confirmed Eruption,,2,,,1904,,7,,14,,Historical Observations,,1904,,8,,9,,-7.242,109.208,10,1904-07-14,0
283110,Asamayama,17766,Confirmed Eruption,,2,,,1904,,8,,4,,Historical Observations,,1904,,8,,4,,36.406,138.523,7,1904-08-04,0
252130,Lolobau,15081,Confirmed Eruption,East flank (Sili  Malo)  Hulu ?,4,P,,1904,,8,,9,,Historical Observations,,1905,,10,>,18,,-4.92,151.158,11,1904-08-09,0
233020,Fournaise  Piton de la,14311,Confirmed Eruption,NE flank (above Piton de Crac),2,,,1904,,8,,19,,Historical Observations,,1904,,10,,17,,-21.244,55.708,2,1904-08-19,0
267030,Banua Wuhu,16549,Confirmed Eruption,,2,,,1904,,8,,27,,Historical Observations,,,,,,,,3.138,125.491,6,1904-08-27,0
266110,Mahawu,16467,Confirmed Eruption,,2,,,1904,,10,<,4,,Historical Observations,,,,,,,,1.352,124.865,6,1904-10-04,0
251020,Manam,14903,Confirmed Eruption,,3,?,,1904,,10,,26,,Historical Observations,,1904,,10,,27,,-4.08,145.037,11,1904-10-26,0
284130,Fukutoku-Oka-no-Ba,18446,Confirmed Eruption,Shin-Iwo-jima,3,,,1904,,11,,14,,Historical Observations,,1905,,5,?,16,,24.285,141.481,1,1904-11-14,0
241080,Tongariro,13567,Confirmed Eruption,Ngauruhoe,2,,,1904,,11,,22,,Historical Observations,,,,,,,,-39.157,175.632,11,1904-11-22,0
263250,Merapi,15892,Confirmed Eruption,,2,,,1905,,1,,1,,Historical Observations,,1905,,6,,1,,-7.542,110.442,10,1905-01-01,0
344090,Momotombo,11002,Confirmed Eruption,,2,,,1905,,1,,16,,Historical Observations,,1905,,1,,21,,12.422,-86.54,14,1905-01-16,0
233020,Fournaise  Piton de la,14312,Confirmed Eruption,,2,,,1905,,2,,15,,Historical Observations,,1905,,2,,16,,-21.244,55.708,2,1905-02-15,0
241050,Okataina,14509,Confirmed Eruption,Waimangu (Echo Crater),1,,,1905,,2,,18,,Historical Observations,,1905,,2,,23,,-38.12,176.5,11,1905-02-18,0
332010,Kilauea,10074,Confirmed Eruption,Halemaumau,0,,,1905,,2,,22,,Historical Observations,,1906,,4,,0,,19.421,-155.287,5,1905-02-22,0
267020,Karangetang,16504,Confirmed Eruption,,2,,,1905,,5,,21,,Historical Observations,,1905,,5,,22,,2.78,125.4,6,1905-05-21,0
241050,Okataina,14510,Confirmed Eruption,Waimangu (Echo Crater),1,,,1905,,6,,17,,Historical Observations,,1905,,6,,17,,-38.12,176.5,11,1905-06-17,0
223020,Nyamuragira,14047,Confirmed Eruption,East flank (Kanamaharagi),2,,,1905,,7,,22,,Historical Observations,,1905,,9,>,25,,-1.408,29.2,9,1905-07-22,0
244040,Savai'i,14816,Confirmed Eruption,Matavanu (north flank 402 m),2,,,1905,,8,,4,,Historical Observations,,1911,,11,,0,,-13.612,-172.525,11,1905-08-04,0
263300,Semeru,13575,Confirmed Eruption,,2,,,1905,,8,,4,,Historical Observations,,,,,,,,-8.108,112.92,10,1905-08-04,0
285020,Hokkaido-Komagatake,18569,Confirmed Eruption,South of Ansei Crater,2,,,1905,,8,,19,,Historical Observations,,1905,,9,?,1,,42.063,140.677,7,1905-08-19,0
283120,Kusatsu-Shiranesan,17829,Confirmed Eruption,Yu-gama,2,,,1905,,10,,1,,Historical Observations,,1905,,10,,0,,36.618,138.528,7,1905-10-01,0
357021,Maipo,11911,Confirmed Eruption,,2,,,1905,,10,,28,,Historical Observations,,1905,,10,,30,,-34.164,-69.832,3,1905-10-28,0
264090,Inielika,16257,Confirmed Eruption,,2,,,1905,,11,,1,,Historical Observations,,1905,,11,,0,,-8.73,120.98,6,1905-11-01,0
261140,Marapi,15440,Confirmed Eruption,,2,?,,1905,,11,,1,,Historical Observations,,,,,,,,-0.381,100.473,10,1905-11-01,0
272020,Kanlaon,16729,Confirmed Eruption,,2,,,1905,,11,,6,,Historical Observations,,1906,,1,>,16,,10.412,123.132,6,1905-11-06,0
243060,Tofua,14748,Confirmed Eruption,Northern part of caldera,2,,,1906,,1,,1,,Historical Observations,,1906,,2,,0,,-19.75,-175.07,11,1906-01-01,0
344100,Masaya,11022,Confirmed Eruption,Santiago and upper NE flank near El PelÑn,2,,,1906,,1,,2,,Historical Observations,,1906,,1,>,9,,11.984,-86.161,14,1906-01-02,0
263250,Merapi,15893,Confirmed Eruption,Summit and upper east flank (2600 m),2,,,1906,,1,,26,5,Historical Observations,,1907,,2,,17,,-7.542,110.442,10,1906-01-26,0
241050,Okataina,14511,Confirmed Eruption,Waimangu (NW of Fairy Crater),1,,,1906,,2,,21,,Historical Observations,,1906,,2,,21,,-38.12,176.5,11,1906-02-21,0
311300,Bogoslof,19856,Confirmed Eruption,Metcalf Peak  McCullough Peak,3,,,1906,,3,,1,30,Historical Observations,,1907,,9,,1,,53.93,-168.03,5,1906-03-01,0
243100,Fonualei,14780,Confirmed Eruption,,,,,1906,,3,,1,,Historical Observations,,,,,,,,-18.02,-174.325,11,1906-03-01,0
241080,Tongariro,13569,Confirmed Eruption,Ngauruhoe,2,,,1906,,3,,1,,Historical Observations,,,,,,,,-39.157,175.632,11,1906-03-01,0
241100,Ruapehu,14616,Confirmed Eruption,,2,,,1906,,3,,15,,Historical Observations,,,,,,,,-39.28,175.57,11,1906-03-15,0
283110,Asamayama,17768,Confirmed Eruption,,2,,,1906,,4,,6,,Historical Observations,,1906,,4,,6,,36.406,138.523,7,1906-04-06,0
284070,Myojinsho,18312,Confirmed Eruption,9-15 km SE of Bayonnaise Rocks,1,,,1906,,4,,7,,Historical Observations,,1906,,4,,14,,31.888,139.918,7,1906-04-07,0
357120,Villarrica,12139,Confirmed Eruption,,2,,,1906,,4,,22,,Historical Observations,,1906,,12,,0,,-39.42,-71.93,3,1906-04-22,0
264030,Rinjani,16215,Confirmed Eruption,Gunung Barujari,1,?,,1906,,4,,29,,Historical Observations,,,,,,,,-8.42,116.47,6,1906-04-29,0
221080,Erta Ale,13931,Confirmed Eruption,,0,,,1906,,5,,1,,Historical Observations,,,,,,,,13.6,40.67,13,1906-05-01,0
311110,Kanaga,19718,Confirmed Eruption,Summit  upper SW flank,,,,1906,,5,,1,,Historical Observations,,,,,,,,51.923,-177.168,5,1906-05-01,0
282110,Asosan,17292,Confirmed Eruption,Naka-dake,3,,,1906,,6,,7,,Historical Observations,,,,,,,,32.884,131.104,8,1906-06-07,0
266030,Soputan,13585,Confirmed Eruption,NE flank (Aeseput),2,,,1906,,6,,17,,Historical Observations,,1906,,9,,0,,1.112,124.737,6,1906-06-17,0
357070,Chillàn  Nevados de,11979,Confirmed Eruption,Volcàn Nuevo,2,,,1906,,8,,6,,Historical Observations,,1906,,12,,0,,-36.863,-71.377,3,1906-08-06,0
352050,Cotopaxi,11588,Confirmed Eruption,,2,,,1906,,8,,21,,Historical Observations,,1906,,9,,19,,-0.677,-78.436,14,1906-08-21,0
263210,Sundoro,15803,Confirmed Eruption,Summit crater K5,2,,,1906,,9,,22,,Historical Observations,,1906,,12,,20,,-7.3,109.992,10,1906-09-22,0
263310,Tengger Caldera,16043,Confirmed Eruption,Bromo,2,,,1906,,9,,25,,Historical Observations,,1907,,5,,18,,-7.942,112.95,10,1906-09-25,0
354020,Ubinas,11629,Confirmed Eruption,,2,,,1906,,10,,1,,Historical Observations,,,,,,,,-16.355,-70.903,3,1906-10-01,0
243060,Tofua,14749,Confirmed Eruption,Northern part of caldera,2,,,1906,,12,,1,,Historical Observations,,,,,,,,-19.75,-175.07,11,1906-12-01,0
332010,Kilauea,10075,Confirmed Eruption,Halemaumau,0,,,1906,,12,,2,,Historical Observations,,1924,,2,,0,,19.421,-155.287,5,1906-12-02,0
263300,Semeru,13576,Confirmed Eruption,,2,,,1907,,1,,7,,Historical Observations,,1907,,1,,10,,-8.108,112.92,10,1907-01-07,0
332020,Mauna Loa,10214,Confirmed Eruption,SW rift zone (1890 m) and Mokuaweoweo,0,,,1907,,1,,9,,Historical Observations,,1907,,1,>,24,,19.475,-155.608,5,1907-01-09,0
283110,Asamayama,17769,Confirmed Eruption,,2,,,1907,,1,,18,,Historical Observations,,1907,,3,,28,,36.406,138.523,7,1907-01-18,0
241080,Tongariro,13570,Confirmed Eruption,Ngauruhoe (south sub-crater),2,,,1907,,2,,1,,Historical Observations,,1907,,5,,0,,-39.157,175.632,11,1907-02-01,0
357010,Tupungatito,11895,Confirmed Eruption,,2,,,1907,,2,,15,,Historical Observations,,,,,,,,-33.425,-69.797,3,1907-02-15,0
300050,Ksudach,18941,Confirmed Eruption,Stubel,5,,,1907,,3,?,28,,Historical Observations,,,,,,,,51.844,157.572,7,1907-03-28,0
382110,Monaco Bank,13043,Confirmed Eruption,,0,,,1907,,4,,1,,Historical Observations,,,,,,,,37.6,-25.88,9,1907-04-01,0
223020,Nyamuragira,14049,Confirmed Eruption,Summit caldera,1,,,1907,,4,,1,,Historical Observations,,1907,,5,,0,,-1.408,29.2,9,1907-04-01,0
357140,Carràn-Los Venados,12187,Confirmed Eruption,Ri_inahue Maar,3,,,1907,,4,,9,,Historical Observations,,1908,,2,>,0,,-40.35,-72.07,3,1907-04-09,0
358020,Calbuco,12255,Confirmed Eruption,,2,?,,1907,,4,,22,,Historical Observations,,,,,,,,-41.326,-72.614,3,1907-04-22,0
357120,Villarrica,12140,Confirmed Eruption,,2,,,1907,,5,,5,4,Historical Observations,,1907,,5,?,26,,-39.42,-71.93,3,1907-05-05,0
221112,Alayta,13940,Confirmed Eruption,SE flank,2,,,1907,,6,,1,,Historical Observations,,1907,,8,>,4,,12.888,40.573,13,1907-06-01,0
352050,Cotopaxi,11589,Confirmed Eruption,,2,,,1907,,6,,1,,Historical Observations,,,,,,,,-0.677,-78.436,14,1907-06-01,0
266030,Soputan,13586,Confirmed Eruption,NE flank (Aeseput),2,,,1907,,6,,5,,Historical Observations,,1907,,6,?,25,,1.112,124.737,6,1907-06-05,0
243010,Unnamed,14724,Confirmed Eruption,,0,,,1907,,7,,1,,Historical Observations,,,,,,,,-21.38,-175.65,11,1907-07-01,0
263300,Semeru,13577,Confirmed Eruption,,2,,,1907,,7,<,9,,Historical Observations,,,,,,,,-8.108,112.92,10,1907-07-09,0
357060,Azul  Cerro,11953,Confirmed Eruption,Quizapu,2,,,1907,,7,,28,,Historical Observations,,,,,,,,-35.653,-70.761,3,1907-07-28,0
300260,Klyuchevskoy,19432,Confirmed Eruption,Summit and east flank,2,,,1907,,8,,1,,Historical Observations,,,,,,,,56.056,160.642,7,1907-08-01,0
283110,Asamayama,17770,Confirmed Eruption,,2,,,1907,,8,,24,,Historical Observations,,1907,,8,,24,,36.406,138.523,7,1907-08-24,0
263310,Tengger Caldera,16044,Confirmed Eruption,Bromo,2,,,1907,,8,,28,,Historical Observations,,,,,,,,-7.942,112.95,10,1907-08-28,0
344120,Concepcion,11051,Confirmed Eruption,,2,,,1907,,9,,1,,Historical Observations,,1910,,0,,0,,11.538,-85.622,14,1907-09-01,0
264180,Lewotobi,16287,Confirmed Eruption,Lewotobi Lakilaki,3,,,1907,,9,,28,,Historical Observations,,1907,,10,,30,,-8.542,122.775,6,1907-09-28,0
251010,Bam,14875,Confirmed Eruption,,2,,,1907,,11,,1,,Historical Observations,,,,,,,,-3.613,144.818,11,1907-11-01,0
344040,Telica,10907,Confirmed Eruption,,2,,,1907,,11,,1,,Historical Observations,,,,,,,,12.602,-86.845,14,1907-11-01,0
241080,Tongariro,14563,Confirmed Eruption,Ngauruhoe,2,,,1907,,11,,1,,Historical Observations,,,,,,,,-39.157,175.632,11,1907-11-01,0
223020,Nyamuragira,14050,Confirmed Eruption,Summit caldera,3,,,1907,,11,,7,,Historical Observations,,1907,,12,,5,,-1.408,29.2,9,1907-11-07,0
268060,Gamalama,16659,Confirmed Eruption,,2,,,1907,,11,,17,,Historical Observations,,1907,,11,,20,,0.8,127.33,6,1907-11-17,0
233020,Fournaise  Piton de la,14313,Confirmed Eruption,,0,,,1907,,11,,29,,Historical Observations,,1907,,12,,5,4,-21.244,55.708,2,1907-11-29,0
283070,Yakedake,17499,Confirmed Eruption,Summit crater (Shoga-ike),2,,,1907,,12,,8,,Historical Observations,,1909,,6,,1,,36.227,137.587,7,1907-12-08,0
282110,Asosan,17293,Confirmed Eruption,Naka-dake,2,,,1907,,12,,12,,Historical Observations,,,,,,,,32.884,131.104,8,1907-12-12,0
263310,Tengger Caldera,16045,Confirmed Eruption,Bromo,2,,,1907,,12,,14,,Historical Observations,,1908,,2,,13,,-7.942,112.95,10,1907-12-14,0
261140,Marapi,15441,Confirmed Eruption,,2,?,,1907,,12,,17,,Historical Observations,,1908,,9,,0,,-0.381,100.473,10,1907-12-17,0
263300,Semeru,13578,Confirmed Eruption,,2,,,1908,,1,,1,,Historical Observations,,1908,,12,,0,,-8.108,112.92,10,1908-01-01,0
282110,Asosan,17294,Confirmed Eruption,Naka-dake,2,,,1908,,1,,17,,Historical Observations,,1908,,1,?,29,,32.884,131.104,8,1908-01-17,0
283110,Asamayama,17771,Confirmed Eruption,,2,,,1908,,2,?,13,,Historical Observations,,1908,,2,,19,,36.406,138.523,7,1908-02-13,0
261230,Dempo,15561,Confirmed Eruption,,2,,,1908,,2,,16,,Historical Observations,,1908,,2,,17,,-4.03,103.13,10,1908-02-16,0
311320,Akutan,19838,Confirmed Eruption,,0,,,1908,,2,,22,,Historical Observations,,,,,,,,54.134,-165.986,5,1908-02-22,0
390020,Erebus,13155,Confirmed Eruption,,2,,,1908,,3,,1,,Historical Observations,,1908,,11,,0,,-77.53,167.17,2,1908-03-01,0
211060,Etna,13766,Confirmed Eruption,SE flank (Valle del Bove 2800-2275 m),2,,,1908,,4,,29,,Historical Observations,,1908,,5,,1,1,37.734,15.004,9,1908-04-29,0
211060,Etna,13767,Confirmed Eruption,Central Crater,2,,,1908,,5,,20,,Historical Observations,,1909,,9,,28,,37.734,15.004,9,1908-05-20,0
266030,Soputan,13587,Confirmed Eruption,NE flank (Aeseput),2,,,1908,,6,,1,,Historical Observations,,1909,,6,,0,,1.112,124.737,6,1908-06-01,0
251010,Bam,14876,Confirmed Eruption,,2,,,1908,,7,,12,,Historical Observations,,,,,,,,-3.613,144.818,11,1908-07-12,0
255020,Bagana,15120,Confirmed Eruption,,2,?,,1908,,7,,15,,Historical Observations,,,,,,,,-6.137,155.196,11,1908-07-15,0
283110,Asamayama,17772,Confirmed Eruption,,2,,,1908,,8,,5,,Historical Observations,,1908,,9,,23,,36.406,138.523,7,1908-08-05,0
241050,Okataina,14512,Confirmed Eruption,Waimangu (Echo Crater),1,,,1908,,10,,1,,Historical Observations,,1908,,10,,1,,-38.12,176.5,11,1908-10-01,0
261170,Kerinci,15505,Confirmed Eruption,,2,,,1908,,10,,1,,Historical Observations,,1909,,0,,0,,-1.697,101.264,10,1908-10-01,0
357120,Villarrica,12141,Confirmed Eruption,,2,,,1908,,10,,31,,Historical Observations,,1908,,12,?,12,,-39.42,-71.93,3,1908-10-31,0
341040,Colima,10458,Confirmed Eruption,,3,,,1908,,12,,18,,Historical Observations,,1909,,7,,1,30,19.514,-103.62,0,1908-12-18,0
264180,Lewotobi,16288,Confirmed Eruption,Lewotobi Lakilaki,2,,,1909,,1,,8,,Historical Observations,,1910,,5,,26,,-8.542,122.775,6,1909-01-08,0
