Volcano_Number,Volcano_Name,Eruption_Number,Eruption_Category,Area_of_Activity,VEI,VEI_Modifier,Start_Year_Modifier,Start_Year,Start_Year_Uncertainty,Start_Month,Start_Day_Modifier,Start_Day,Start_Day_Uncertainty,Evidence_Method_(dating),End_Year_Modifier,End_Year,End_Year_Uncertainty,End_Month,End_Day_Modifier,End_Day,End_Day_Uncertainty,Latitude,Longitude,cluster,startdate,type
344100,Masaya,11037,Confirmed Eruption,Santiago,1,,,2001,,4,,23,,Historical Observations,,2001,,4,?,25,,11.984,-86.161,14,2001-04-23,V
284141,Ahyi,18474,Confirmed Eruption,20.34ÁN  145.02ÁE,0,,,2001,,4,,24,,Hydrophonic,,2001,,4,,25,,20.42,145.03,1,2001-04-24,V
234011,McDonald Islands,14397,Confirmed Eruption,,1,?,,2001,,5,,3,150,Historical Observations,,,,,,,,-53.03,72.6,2,2001-05-03,V
344020,San Cristobal,10888,Confirmed Eruption,,1,,,2001,,5,?,11,,Historical Observations,,2001,,12,?,9,,12.702,-87.004,14,2001-05-11,V
261170,Kerinci,15528,Confirmed Eruption,,2,,,2001,,5,,12,,Historical Observations,,2002,,8,?,27,,-1.697,101.264,10,2001-05-12,V
268030,Ibu,16580,Confirmed Eruption,,0,,,2001,,5,?,28,,Historical Observations,,2001,,10,?,3,,1.488,127.63,6,2001-05-28,V
257050,Lopevi,15317,Confirmed Eruption,NW flank (200-400 m),3,,,2001,,6,,8,,Historical Observations,,2001,,6,>,19,,-16.507,168.346,11,2001-06-08,V
233020,Fournaise  Piton de la,14381,Confirmed Eruption,ESE flank (2500 m)  East flank (1800-2000 m),1,,,2001,,6,,11,,Historical Observations,,2001,,7,,7,,-21.244,55.708,2,2001-06-11,V
251020,Manam,14929,Confirmed Eruption,,2,,,2001,,6,,14,,Historical Observations,,2001,,6,?,25,,-4.08,145.037,11,2001-06-14,V
211060,Etna,13832,Confirmed Eruption,S to NE flanks (3100-2100 m),2,,,2001,,7,,17,,Historical Observations,,2001,,8,,9,,37.734,15.004,9,2001-07-17,V
262000,Krakatau,15625,Confirmed Eruption,Anak Krakatau,1,,,2001,,7,,21,,Historical Observations,,2001,,9,?,17,,-6.102,105.423,10,2001-07-21,V
300250,Bezymianny,19378,Confirmed Eruption,,3,,,2001,,7,?,23,,Historical Observations,,2001,,8,?,10,,55.972,160.595,7,2001-07-23,V
252120,Ulawun,15065,Confirmed Eruption,,2,,,2001,,8,,28,,Historical Observations,,2001,,8,,28,,-5.05,151.33,11,2001-08-28,V
390090,Saunders,13217,Confirmed Eruption,,0,,,2001,,9,?,1,,Historical Observations,,2001,,11,?,0,,-57.8,-26.483,3,2001-09-01,V
284120,Ioto,18421,Confirmed Eruption,Off SE coast and Idogahama (NW coast),1,,,2001,,9,,21,,Historical Observations,,2001,,10,,23,,24.751,141.289,1,2001-09-21,V
261160,Talang,15494,Confirmed Eruption,Kepundan Panjang & Kabuo  Gabuo Atas,1,,,2001,,9,,25,,Historical Observations,,2001,,11,,15,3,-0.978,100.679,10,2001-09-25,V
243091,Unnamed,14772,Confirmed Eruption,,2,,,2001,,9,,27,,Historical Observations,,2001,,9,?,28,,-18.325,-174.365,11,2001-09-27,V
390081,Montagu Island,13205,Confirmed Eruption,NW of Mount Belinda,1,?,,2001,,10,,1,20,Historical Observations,,2007,,9,,20,,-58.445,-26.374,3,2001-10-01,V
300100,Avachinsky,19104,Confirmed Eruption,,1,,,2001,,10,,5,,Historical Observations,,2001,,10,,5,,53.256,158.836,7,2001-10-05,V
342110,Pacaya,19880,Confirmed Eruption,MacKenney Crater,1,,,2001,,10,,31,,Historical Observations,,2001,,10,,31,,14.381,-90.601,14,2001-10-31,V
300130,Karymsky,19187,Confirmed Eruption,Summit and upper south flank,3,,,2001,,11,,15,,Historical Observations,,2014,,10,,4,,54.049,159.443,7,2001-11-15,V
385052,Unnamed,13144,Confirmed Eruption,Seamount NW of WÙst seamount,0,,,2001,,11,,24,,Historical Observations,,2002,,3,,0,,-32.958,-5.22,3,2001-11-24,V
352020,Guagua Pichincha,11497,Confirmed Eruption,North of 1981 crater,1,?,,2001,,11,,26,,Historical Observations,,2001,,11,,26,,-0.171,-78.598,14,2001-11-26,V
211060,Etna,13835,Confirmed Eruption,Central Crater  NE Crater,1,,,2001,,12,?,1,,Historical Observations,,2002,,10,?,30,,37.734,15.004,9,2001-12-01,V
360160,Kick 'em Jenny,12468,Confirmed Eruption,,0,,,2001,,12,,4,,Hydrophonic,,2001,,12,,6,,12.3,-61.64,14,2001-12-04,V
300250,Bezymianny,19379,Confirmed Eruption,,2,,,2001,,12,,10,,Historical Observations,,2002,,1,?,6,,55.972,160.595,7,2001-12-10,V
